GEN,AGS,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,current,current_time
Flensburg,1001,0,0,0,0,0,0,0,0,0,1,1,4,6,7,7,8,10,13,15,15,15,16,18,21,21,21,21,22,23,25,25,27,31,28,28,30,30,31,09/04/2020 0:00
Kiel,1002,0,0,0,0,0,0,0,0,6,7,11,12,13,17,18,25,34,36,37,41,51,51,63,66,74,74,100,114,121,124,136,146,157,160,164,169,170,175,09/04/2020 0:00
Lübeck,1003,1,1,1,1,2,2,2,2,7,7,8,9,10,11,11,18,19,43,53,56,57,63,63,63,67,69,69,77,88,97,98,101,103,103,103,119,125,125,08/04/2020 20:41
Neumünster,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,7,7,10,11,12,13,15,15,15,19,24,25,29,30,30,31,34,34,36,40,09/04/2020 0:00
Dithmarschen,1051,0,0,1,1,1,1,1,1,1,1,1,1,6,6,6,10,11,11,12,12,15,15,16,19,20,24,24,28,27,28,33,35,37,37,42,46,49,50,09/04/2020 18:00
Herzogtum Lauenburg,1053,1,1,1,1,1,2,2,2,3,3,5,5,12,12,13,19,21,24,24,36,39,51,52,56,71,80,80,80,92,112,115,135,147,155,155,162,178,178,08/04/2020 20:40
Nordfriesland,1054,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,10,10,16,18,19,19,20,22,24,27,36,39,39,40,42,45,48,48,49,51,52,53,59,09/04/2020 0:00
Ostholstein,1055,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4,4,7,11,12,13,13,17,18,22,23,23,23,23,32,39,43,47,51,51,52,52,52,53,09/04/2020 0:00
Pinneberg,1056,1,1,1,2,2,2,2,4,4,5,5,18,24,24,27,54,60,76,76,88,92,115,122,155,178,178,188,205,233,250,271,304,304,339,339,377,423,445,09/04/2020 16:00
Plön,1057,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,8,10,11,12,12,21,23,31,38,45,50,54,54,56,58,64,68,72,73,75,80,89,89,08/04/2020 20:53
Rendsburg-Eckernförde,1058,0,0,0,0,0,0,0,0,1,1,1,8,8,12,13,16,21,24,30,33,37,46,56,73,89,100,112,112,125,128,137,147,158,166,166,172,177,186,09/04/2020 0:00
Schleswig-Flensburg,1059,0,0,0,0,0,0,0,0,1,2,5,5,11,16,17,21,22,23,24,27,27,34,34,38,48,62,67,69,75,87,88,91,93,95,95,99,101,104,09/04/2020 16:00
Segeberg,1060,1,1,2,2,2,2,2,2,2,4,4,4,6,7,14,18,19,27,29,30,34,43,48,55,63,72,73,80,93,108,119,133,141,143,151,162,169,172,09/04/2020 0:00
Steinburg,1061,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,8,8,13,13,13,20,21,23,28,36,36,36,40,43,51,53,53,53,62,62,66,70,09/04/2020 0:00
Stormarn,1062,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,17,21,29,43,52,60,68,79,88,95,113,120,132,147,155,161,175,185,195,199,209,215,222,09/04/2020 19:00
Hamburg,2000,5,5,6,11,13,17,22,35,54,88,123,158,196,260,312,414,506,664,768,887,1043,1237,1450,1614,1759,1935,2078,2214,2290,2437,2557,2739,2882,3019,3088,3217,3370,3518,09/04/2020 0:00
Braunschweig,3101,0,0,1,1,1,1,1,1,1,2,2,5,5,8,12,13,18,25,29,56,58,63,73,80,94,109,138,144,148,169,189,209,216,225,231,232,241,247,09/04/2020 0:00
Salzgitter,3102,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,10,18,23,25,26,30,34,41,44,45,45,53,55,58,61,64,67,70,72,72,85,94,09/04/2020 15:34
Wolfsburg,3103,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,8,10,14,16,20,28,31,40,51,98,122,145,163,171,184,195,217,217,221,222,225,228,235,09/04/2020 16:34
Gifhorn,3151,0,0,0,0,0,0,0,0,0,0,5,7,7,16,20,23,26,32,34,34,37,39,43,48,53,62,62,68,78,77,87,92,95,96,99,103,107,106,09/04/2020 0:00
Goslar,3153,0,0,0,0,0,0,0,0,0,0,0,5,5,7,7,14,14,18,18,21,22,24,31,40,46,51,51,60,61,61,60,70,74,82,87,89,90,98,09/04/2020 0:00
Helmstedt,3154,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,9,9,16,18,18,24,26,39,45,45,53,60,65,69,76,78,82,82,84,84,91,105,09/04/2020 15:46
Northeim,3155,0,0,0,0,0,0,0,0,0,3,4,5,5,7,7,7,13,17,17,17,22,27,29,32,33,33,33,40,41,42,49,53,53,53,62,62,64,67,09/04/2020 0:00
Peine,3157,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,11,15,20,21,21,25,31,40,40,54,62,77,90,94,99,105,108,110,110,117,122,124,09/04/2020 0:00
Wolfenbüttel,3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,6,6,7,11,20,26,29,32,32,35,47,55,60,73,75,76,76,81,86,99,09/04/2020 0:00
Göttingen,3159,0,0,0,0,0,0,0,0,0,0,3,4,4,14,19,32,45,51,61,70,75,83,94,115,127,142,158,200,208,234,270,286,312,340,351,370,399,433,09/04/2020 0:00
Region Hannover,3241,2,2,3,3,3,4,7,11,17,25,59,60,60,121,138,173,238,304,310,341,368,428,510,588,661,692,738,811,867,911,976,1039,1072,1110,1165,1234,1310,1389,09/04/2020 0:00
Diepholz,3251,0,0,0,0,0,0,0,0,0,3,11,21,21,25,35,37,47,63,75,75,90,100,102,111,117,126,126,138,154,166,184,204,211,221,222,233,247,255,09/04/2020 18:47
Hameln-Pyrmont,3252,0,0,0,0,0,0,0,0,1,1,2,3,3,7,9,13,19,23,26,27,28,28,32,38,44,60,70,70,73,79,82,83,89,89,89,92,94,97,09/04/2020 0:00
Hildesheim,3254,0,0,0,0,2,2,2,3,3,3,3,14,31,31,44,66,84,89,97,97,100,114,123,144,152,152,152,153,161,172,180,190,197,197,197,204,211,215,09/04/2020 15:00
Holzminden,3255,0,0,0,0,0,0,0,0,0,1,1,1,1,9,13,14,19,23,27,27,29,30,36,39,44,47,47,55,62,62,70,73,76,79,79,79,85,91,09/04/2020 12:20
Nienburg (Weser),3256,0,0,0,0,0,0,0,0,0,2,2,2,2,5,6,6,8,15,15,17,19,21,22,22,24,26,27,29,36,38,39,42,42,52,52,54,56,60,09/04/2020 0:00
Schaumburg,3257,0,0,0,0,0,0,0,0,0,1,2,2,2,4,5,12,19,23,27,29,32,32,38,44,48,53,53,53,54,59,62,71,78,81,81,83,91,106,09/04/2020 0:00
Celle,3351,0,0,3,3,3,3,3,4,5,6,6,8,8,12,15,21,27,36,36,36,44,50,55,61,69,70,72,89,98,102,106,110,110,110,116,119,124,129,09/04/2020 16:00
Cuxhaven,3352,1,1,1,2,2,2,3,3,3,4,5,5,5,5,13,22,28,28,32,34,38,39,39,46,49,53,53,54,55,56,59,60,63,63,65,65,70,72,09/04/2020 0:00
Harburg,3353,0,0,0,0,0,0,3,3,3,5,11,11,11,11,18,39,48,62,74,87,87,95,114,126,134,149,154,156,168,208,228,265,266,275,291,298,316,330,09/04/2020 15:18
Lüchow-Dannenberg,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,7,7,9,9,9,8,8,10,11,12,12,13,13,14,14,14,09/04/2020 15:19
Lüneburg,3355,0,0,0,0,0,0,0,0,0,1,1,3,3,6,26,42,45,53,54,61,61,65,69,71,75,82,82,82,97,100,108,113,119,120,122,125,132,134,0
Osterholz,3356,0,0,0,0,0,0,0,2,2,8,12,12,12,16,20,20,22,24,24,24,27,29,32,36,42,42,42,49,50,55,56,57,57,57,60,60,64,64,09/04/2020 18:39
Rotenburg (Wümme),3357,2,2,2,2,2,2,2,3,5,5,5,7,7,18,18,19,22,25,30,34,34,36,38,42,49,50,54,55,55,58,63,66,67,72,73,75,76,78,09/04/2020 0:00
Heidekreis,3358,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,5,6,7,10,10,15,21,21,25,25,28,30,33,36,41,41,44,44,48,52,09/04/2020 0:00
Stade,3359,0,0,1,1,2,6,11,11,13,14,17,21,21,24,28,33,37,43,58,58,66,73,80,92,103,105,109,115,117,123,127,135,141,152,153,156,160,162,09/04/2020 0:00
Uelzen,3360,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,7,7,11,12,15,16,19,23,24,25,25,26,26,27,28,29,29,29,31,33,09/04/2020 15:19
Verden,3361,0,0,0,0,0,0,0,2,3,5,8,8,8,12,14,20,23,24,26,27,33,37,37,43,48,50,57,58,73,80,82,96,96,96,100,106,107,107,09/04/2020 15:30
Delmenhorst,3401,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,8,8,8,8,8,12,13,16,17,17,17,20,22,24,24,25,26,26,26,26,27,29,09/04/2020 15:24
Emden,3402,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,7,7,7,8,8,8,8,9,9,9,9,9,7,8,10,8,8,10,11,12,13,14,14,09/04/2020 18:17
Oldenburg (Oldb),3403,1,1,1,1,2,2,2,6,6,6,11,11,11,18,25,26,30,31,31,31,49,61,74,76,91,91,91,107,111,116,130,143,143,143,159,162,173,184,09/04/2020 0:00
Osnabrück,3404,0,0,0,0,0,0,1,1,1,7,7,19,19,38,54,62,83,101,108,119,135,145,174,197,199,215,224,249,259,267,276,285,300,312,322,332,368,377,09/04/2020 14:30
Wilhelmshaven,3405,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,8,9,10,10,11,13,13,09/04/2020 0:00
Ammerland,3451,1,1,1,1,1,1,1,1,1,1,7,7,7,7,11,14,17,20,21,24,33,36,44,50,56,64,77,82,88,93,99,103,107,111,115,119,132,138,09/04/2020 16:00
Aurich,3452,0,0,0,0,0,0,0,1,1,1,3,12,12,16,17,22,27,27,31,31,31,34,41,48,48,49,49,54,58,64,69,71,71,72,72,74,78,78,09/04/2020 0:00
Cloppenburg,3453,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,9,11,13,14,14,18,24,24,31,31,38,38,38,38,46,50,56,57,58,60,65,09/04/2020 15:30
Emsland,3454,0,0,0,0,0,0,0,1,1,3,4,10,10,31,36,43,51,56,63,64,67,78,93,102,114,136,140,146,149,165,175,181,191,200,201,213,244,255,09/04/2020 12:35
Friesland,3455,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,5,6,6,7,7,8,9,10,10,10,12,15,18,20,20,20,22,23,24,24,09/04/2020 18:49
Grafschaft Bentheim,3456,1,1,1,1,1,1,1,1,1,1,3,5,5,5,11,15,23,23,29,29,29,35,44,52,62,82,84,87,92,101,109,121,130,132,137,152,160,166,09/04/2020 0:00
Leer,3457,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,10,12,12,13,14,14,17,20,25,28,33,34,38,41,44,49,53,54,59,62,62,63,66,09/04/2020 15:32
Oldenburg,3458,0,0,1,1,1,1,1,1,1,4,4,4,4,4,8,9,12,15,16,16,16,25,33,45,56,60,96,108,113,119,146,159,159,169,169,185,182,182,09/04/2020 19:42
Osnabrück,3459,0,0,1,1,1,1,2,2,2,15,15,39,39,47,50,61,74,91,107,119,134,146,175,213,236,256,279,288,319,331,361,418,448,472,512,531,629,658,09/04/2020 14:30
Vechta,3460,0,0,0,0,0,0,0,0,0,2,2,3,3,6,6,17,22,33,47,54,59,63,92,94,115,128,133,156,179,194,200,211,224,230,235,244,253,261,09/04/2020 0:00
Wesermarsch,3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,9,11,13,20,26,32,38,39,40,42,43,45,47,47,47,48,48,48,49,09/04/2020 15:19
Wittmund,3462,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,4,4,4,4,6,6,8,10,14,16,16,15,15,15,16,16,16,16,16,19,20,20,09/04/2020 16:34
Bremen,4011,3,3,3,4,4,4,4,22,32,38,42,45,48,49,54,62,104,112,153,158,161,181,196,228,247,259,270,277,292,308,319,331,365,368,370,396,416,425,09/04/2020 0:00
Bremerhaven,4012,0,0,0,0,0,0,0,0,0,4,6,8,8,8,12,13,14,14,14,14,14,14,16,16,16,19,20,20,23,22,22,23,23,25,25,26,26,26,09/04/2020 0:00
Düsseldorf,5111,1,1,1,3,4,4,4,5,6,16,16,23,54,54,130,159,198,207,207,249,249,270,289,319,342,342,361,412,460,496,543,575,575,595,649,681,719,737,09/04/2020 16:30
Duisburg,5112,3,3,3,3,3,3,3,3,7,9,10,14,24,30,46,52,75,81,89,133,142,160,174,215,245,266,276,286,317,338,354,379,379,394,440,450,502,525,09/04/2020 16:00
Essen,5113,2,2,5,5,5,5,5,6,9,12,20,51,54,85,113,129,154,164,197,218,228,239,274,288,298,360,382,399,414,424,429,440,489,512,515,532,554,578,09/04/2020 16:35
Krefeld,5114,0,0,0,0,0,0,0,0,0,10,10,21,35,36,43,54,62,73,84,92,92,97,117,138,147,185,210,208,211,225,240,251,264,264,269,272,292,305,09/04/2020 13:00
Mönchengladbach,5116,3,3,3,5,7,7,7,8,8,17,28,35,36,37,44,46,51,72,100,104,109,119,124,135,151,168,174,178,182,217,235,250,265,294,296,304,321,331,09/04/2020 10:00
Mülheim an der Ruhr,5117,0,0,0,0,0,0,0,0,0,5,9,9,9,12,16,21,30,36,36,42,42,43,45,52,55,62,68,74,78,86,97,100,101,105,107,110,114,116,09/04/2020 13:00
Oberhausen,5119,0,0,0,0,0,0,0,0,1,3,8,10,10,12,13,18,26,35,35,36,37,38,44,48,61,63,66,68,69,78,83,91,108,108,114,117,125,134,09/04/2020 8:00
Remscheid,5120,0,0,0,0,4,4,4,4,4,5,7,7,8,8,14,15,19,21,21,23,33,34,38,41,45,54,56,59,61,69,80,89,92,92,99,108,113,119,09/04/2020 19:53
Solingen,5122,0,0,0,0,0,0,0,4,4,5,6,6,19,24,32,33,35,38,38,38,51,60,71,71,71,81,87,91,94,111,117,132,137,141,144,151,160,161,09/04/2020 9:14
Wuppertal,5124,0,0,0,0,0,0,0,0,0,4,6,10,16,20,31,50,61,74,74,74,109,117,138,162,172,185,185,197,210,249,262,285,298,328,354,383,423,490,09/04/2020 15:00
Kleve,5154,0,0,0,0,0,0,0,0,2,7,10,10,36,42,70,74,83,111,111,121,131,142,162,179,211,211,236,237,247,260,278,288,303,304,304,317,333,343,09/04/2020 0:00
Mettmann,5158,1,1,1,2,2,2,2,8,11,16,19,31,31,44,62,87,101,154,179,197,202,232,248,271,284,305,320,322,413,451,484,519,542,585,615,657,713,753,09/04/2020 16:17
Rhein-Kreis Neuss,5162,1,1,1,2,2,2,2,2,5,8,19,19,19,44,50,50,60,86,112,133,179,220,220,245,257,282,319,361,362,396,425,448,455,475,491,493,502,502,08/04/2020 8:00
Viersen,5166,2,2,3,4,5,5,5,6,6,6,17,27,37,40,46,58,70,123,153,158,168,174,199,227,248,249,262,275,284,334,350,353,393,403,406,411,430,445,09/04/2020 15:00
Wesel,5170,1,1,1,1,1,1,1,1,4,15,26,27,27,49,72,85,99,124,124,124,146,164,176,192,208,217,217,237,243,254,258,267,278,285,286,303,319,333,09/04/2020 15:00
Bonn,5314,1,1,1,1,1,1,6,7,13,17,23,28,37,55,64,69,75,103,120,133,157,166,180,218,222,241,259,268,289,305,316,353,370,395,412,421,437,447,09/04/2020 0:00
Köln,5315,12,12,15,18,29,29,33,33,43,65,123,180,244,301,384,478,586,679,773,817,857,921,1002,1075,1161,1249,1319,1369,1431,1540,1666,1715,1748,1768,1792,1839,1865,1947,09/04/2020 0:00
Leverkusen,5316,0,0,0,0,0,0,0,0,2,3,5,5,5,20,21,31,31,40,45,48,48,58,65,74,82,88,102,102,113,127,131,141,146,149,149,155,158,160,09/04/2020 13:00
Städteregion Aachen,5334,24,24,33,41,51,51,58,61,63,70,85,100,155,169,211,273,334,405,443,516,530,540,618,694,746,787,824,863,920,980,1081,1155,1213,1259,1272,1295,1367,1426,09/04/2020 10:30
Düren,5358,2,2,4,4,4,4,5,6,7,15,16,23,24,46,54,74,74,111,127,142,150,152,168,190,209,232,243,248,269,282,285,307,341,347,352,366,387,413,09/04/2020 0:00
Rhein-Erft-Kreis,5362,1,1,2,2,2,2,2,3,6,12,13,22,52,63,89,104,113,149,160,182,199,240,253,267,276,305,326,351,363,400,442,482,532,555,585,608,648,688,09/04/2020 0:00
Euskirchen,5366,0,0,0,1,1,1,2,2,2,4,6,12,12,13,13,28,37,51,51,51,53,64,68,92,92,101,124,129,134,145,164,209,213,213,219,228,241,254,09/04/2020 19:00
Heinsberg,5370,114,114,197,214,283,300,323,365,403,483,558,589,663,690,755,811,890,916,916,964,1011,1043,1067,1153,1153,1202,1246,1281,1307,1373,1417,1436,1436,1461,1474,1495,1527,1537,09/04/2020 19:53
Oberbergischer Kreis,5374,2,2,2,5,5,5,6,6,10,14,14,26,26,33,50,51,69,78,100,100,101,124,141,163,180,203,222,235,267,280,303,306,314,314,327,347,354,362,09/04/2020 17:30
Rheinisch-Bergischer Kreis,5378,3,3,3,3,3,3,8,11,12,18,30,30,30,52,60,69,81,95,95,95,135,141,152,163,171,187,200,212,219,226,236,250,258,281,294,305,316,333,09/04/2020 19:57
Rhein-Sieg-Kreis,5382,0,0,0,2,2,2,7,12,19,24,32,32,77,77,111,158,228,260,260,262,336,356,417,460,490,490,543,552,581,619,675,714,714,789,799,829,866,909,09/04/2020 0:00
Bottrop,5512,0,0,0,0,0,0,1,1,1,3,3,3,4,4,9,10,12,13,16,17,17,18,22,22,27,37,38,40,44,45,51,55,55,60,66,66,71,71,08/04/2020 11:46
Gelsenkirchen,5513,0,0,1,3,3,3,3,4,4,5,9,10,12,13,18,35,38,41,41,45,50,55,61,64,82,86,96,101,114,129,143,151,168,186,194,210,212,226,09/04/2020 15:30
Münster,5515,2,2,4,4,4,4,5,6,8,20,29,43,57,90,103,135,173,219,243,266,279,305,352,371,414,443,443,468,487,503,522,537,552,559,586,595,598,606,09/04/2020 15:00
Borken,5554,0,0,1,5,5,5,5,6,7,14,27,45,82,95,123,164,209,252,274,282,296,308,336,368,399,424,438,448,480,525,566,609,650,664,681,699,722,753,09/04/2020 15:30
Coesfeld,5558,1,1,13,13,16,16,21,21,22,30,39,47,50,53,70,85,93,127,152,152,166,182,207,232,264,293,303,310,334,358,372,377,394,399,409,417,431,439,09/04/2020 0:00
Recklinghausen,5562,0,0,1,1,1,1,1,2,9,19,37,46,51,51,63,70,96,125,143,149,162,195,222,264,304,312,328,357,385,417,463,490,500,540,543,555,610,659,09/04/2020 0:00
Steinfurt,5566,0,0,0,0,0,0,2,5,11,26,37,49,64,82,95,124,151,167,191,201,222,244,269,292,338,362,392,395,430,469,528,573,631,664,702,746,806,851,09/04/2020 15:00
Warendorf,5570,0,0,0,0,0,0,1,4,5,11,27,42,57,65,84,108,138,181,207,207,207,217,244,254,279,287,291,303,310,322,338,341,342,343,347,351,362,367,09/04/2020 20:04
Bielefeld,5711,0,0,0,0,0,0,0,2,5,15,19,25,27,28,43,49,57,72,81,93,98,104,120,132,142,146,146,164,169,177,188,200,209,222,224,233,257,269,09/04/2020 13:00
Gütersloh,5754,0,0,1,1,1,1,1,5,5,15,27,45,45,80,91,134,157,179,202,219,224,254,277,315,335,356,362,373,387,401,432,446,470,481,487,504,522,531,09/04/2020 0:00
Herford,5758,0,0,0,2,2,2,2,2,4,5,19,22,26,26,36,52,72,84,95,97,99,104,117,122,133,138,144,148,152,176,194,213,232,232,241,251,258,267,09/04/2020 19:40
Höxter,5762,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,7,12,16,20,21,21,22,29,34,49,55,63,66,71,72,78,99,122,148,152,154,157,167,09/04/2020 0:00
Lippe,5766,0,0,1,1,1,1,1,11,19,31,36,47,47,55,87,107,112,133,138,158,170,188,204,230,261,278,289,302,325,347,393,429,455,468,496,509,526,546,09/04/2020 0:00
Minden-Lübbecke,5770,0,0,0,1,1,1,1,5,9,14,18,47,55,73,87,98,118,140,153,153,166,184,207,223,241,246,256,268,294,340,364,385,397,397,410,430,443,463,09/04/2020 0:00
Paderborn,5774,0,0,0,1,2,2,2,2,6,16,32,36,36,41,52,59,71,75,78,88,92,104,120,148,172,191,191,218,252,291,334,351,368,386,397,421,439,470,09/04/2020 19:50
Bochum,5911,1,1,1,2,3,3,4,5,5,8,20,24,24,26,26,39,61,81,120,141,143,158,167,180,194,219,245,262,279,285,301,315,315,319,335,342,348,365,09/04/2020 19:52
Dortmund,5913,0,0,2,2,2,2,2,5,12,14,19,24,33,37,62,76,95,140,153,161,170,183,205,223,238,256,259,285,304,333,360,380,393,414,425,483,497,507,09/04/2020 0:00
Hagen,5914,0,0,0,0,0,0,1,3,3,3,3,3,6,6,8,21,28,28,31,42,43,49,52,56,56,62,62,81,80,82,92,96,101,114,119,122,125,125,08/04/2020 11:44
Hamm,5915,0,0,0,0,0,0,0,0,0,2,2,7,8,8,19,27,52,60,74,85,90,93,109,114,117,142,146,157,170,175,217,220,243,251,264,274,284,302,09/04/2020 19:34
Herne,5916,0,0,0,0,0,0,0,2,2,4,4,5,8,8,8,13,13,16,23,23,27,27,41,42,45,51,55,57,58,64,66,68,68,69,72,78,86,90,09/04/2020 19:42
Ennepe-Ruhr-Kreis,5954,0,0,0,0,0,0,0,1,1,3,13,16,17,21,32,38,45,52,61,75,83,92,97,108,119,151,170,191,202,218,226,245,254,260,279,285,295,308,09/04/2020 0:00
Hochsauerlandkreis,5958,0,0,0,0,0,0,0,1,1,13,25,25,31,49,80,82,82,85,116,131,149,160,166,173,203,229,241,255,284,312,328,364,379,396,403,414,421,478,09/04/2020 16:00
Märkischer Kreis,5962,1,1,3,5,5,5,6,6,7,10,13,13,18,18,27,29,31,33,38,38,44,47,51,70,81,89,100,118,127,146,165,174,175,175,231,241,264,290,09/04/2020 13:00
Olpe,5966,0,0,0,0,0,0,0,0,0,6,6,6,6,12,14,14,14,17,18,18,19,35,45,85,93,93,102,127,147,166,193,199,216,228,264,283,333,358,09/04/2020 17:00
Siegen-Wittgenstein,5970,0,0,0,0,0,0,0,1,1,10,14,14,14,21,26,29,29,39,39,47,50,58,68,80,97,97,104,111,119,140,152,167,167,182,188,194,200,212,09/04/2020 0:00
Soest,5974,0,0,0,0,0,0,0,0,1,7,10,17,17,25,35,49,55,62,73,89,93,110,121,141,156,170,181,197,207,214,225,224,230,235,260,265,283,293,09/04/2020 16:00
Unna,5978,1,1,1,1,1,1,1,4,6,14,15,17,19,20,25,51,61,83,93,98,108,124,146,162,171,185,189,200,235,255,282,306,331,365,377,403,418,438,09/04/2020 15:00
Darmstadt,6411,0,0,0,0,0,0,0,0,0,0,0,2,6,6,11,11,16,21,23,26,27,27,33,38,48,58,59,62,70,72,79,83,87,92,93,96,99,103,09/04/2020 0:00
Frankfurt am Main,6412,4,4,4,4,4,4,6,6,9,15,21,21,21,21,51,83,95,122,148,148,164,196,212,237,237,330,330,352,396,438,484,504,545,578,590,643,660,730,09/04/2020 0:00
Offenbach am Main,6413,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,5,6,6,9,11,13,15,18,19,22,24,26,26,29,32,33,34,35,43,42,47,49,09/04/2020 0:00
Wiesbaden,6414,0,0,0,0,0,0,1,1,1,6,7,7,7,19,22,22,48,59,59,94,94,101,111,127,148,148,171,205,209,213,224,228,235,209,210,217,229,239,#REF!
Bergstraße,6431,1,1,1,1,1,1,2,3,3,6,13,15,19,21,25,31,37,47,68,73,84,96,104,123,141,156,168,170,180,192,203,208,221,228,232,241,252,256,09/04/2020 20:06
Darmstadt-Dieburg,6432,0,0,0,0,0,0,0,1,1,1,4,5,6,10,14,18,26,62,63,73,73,82,99,114,128,148,157,161,177,195,207,215,223,231,237,241,251,268,09/04/2020 0:00
Groß-Gerau,6433,1,1,1,1,1,1,1,1,2,2,3,8,10,10,12,21,25,48,57,85,87,103,120,135,137,151,183,191,191,209,223,235,236,245,251,262,270,271,09/04/2020 20:10
Hochtaunuskreis,6434,1,1,1,2,2,2,2,3,3,4,5,7,9,18,20,28,40,52,52,67,72,76,88,108,111,129,131,139,146,161,163,172,177,177,184,190,200,206,09/04/2020 10:30
Main-Kinzig-Kreis,6435,1,1,1,1,1,1,1,1,1,11,12,21,25,28,33,40,55,64,70,73,76,81,100,106,120,148,151,162,183,203,227,240,255,257,265,283,301,315,09/04/2020 20:16
Main-Taunus-Kreis,6436,0,0,0,0,0,0,0,2,3,3,8,12,14,14,16,18,28,40,54,55,67,84,92,101,114,114,115,136,145,153,159,165,165,165,174,179,185,192,09/04/2020 16:45
Odenwaldkreis,6437,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,8,13,16,17,23,24,24,31,46,47,58,60,60,70,93,97,106,131,131,132,138,161,161,08/04/2020 0:00
Offenbach,6438,0,0,0,0,0,0,1,1,1,7,8,8,19,19,23,35,50,65,73,76,86,95,112,122,131,160,176,176,179,194,207,219,232,241,248,256,273,289,09/04/2020 0:00
Rheingau-Taunus-Kreis,6439,0,0,0,0,0,0,2,2,2,5,16,23,24,24,25,27,31,31,31,31,51,59,59,89,89,89,107,107,113,117,135,141,147,147,153,160,166,173,09/04/2020 0:00
Wetteraukreis,6440,0,0,0,0,0,0,0,0,0,1,1,2,8,8,15,15,26,26,38,38,41,41,54,66,75,84,91,91,105,124,135,141,146,153,154,158,167,184,09/04/2020 0:00
