GEN,AGS,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,current,current_time
Amberg-Sulzbach,9371,0,0,1,1,3,3,3,3,3,3,4,7,7,7,15,15,17,18,18,27,27,31,36,44,47,56,56,56,83,84,101,137,142,142,142,184,253,253,08/04/2020 0:00
Cham,9372,0,0,0,0,2,5,8,8,11,17,19,20,21,21,23,29,31,40,47,68,73,75,95,103,120,141,141,165,185,192,236,243,261,267,292,307,321,321,08/04/2020 10:00
Neumarkt i.d. OPf.,9373,0,0,0,0,0,0,0,2,2,2,2,5,5,5,11,17,18,18,18,18,18,35,43,43,43,69,80,87,110,118,123,131,138,146,146,160,170,170,08/04/2020 10:00
Neustadt a.d. Waldnaab,9374,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,16,27,30,33,62,72,99,148,152,184,212,242,290,343,373,406,419,424,472,506,09/04/2020 10:00
Regensburg,9375,0,0,0,0,1,1,4,4,7,7,7,12,14,14,19,27,56,67,67,76,85,87,94,107,121,132,147,156,162,174,195,217,238,259,279,290,316,316,08/04/2020 10:00
Schwandorf,9376,0,0,0,0,0,1,1,1,2,5,7,7,7,12,15,17,23,24,32,39,43,57,68,74,76,92,114,123,134,176,191,219,251,255,263,282,303,303,08/04/2020 8:00
Tirschenreuth,9377,0,0,0,0,0,0,0,0,1,3,5,10,17,30,40,47,47,77,77,182,182,202,236,259,323,397,398,454,504,579,665,702,762,762,814,873,895,895,08/04/2020 18:30
Bamberg,9461,0,0,0,0,0,0,0,0,0,0,0,3,4,4,9,11,21,25,26,30,30,34,39,55,65,67,67,70,80,83,90,93,93,102,118,122,127,133,09/04/2020 0:00
Bayreuth,9462,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,7,7,7,7,7,9,19,53,56,56,56,51,55,62,88,105,105,105,95,104,113,130,09/04/2020 10:00
Coburg,9463,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,8,10,10,10,14,15,17,20,23,23,24,25,26,29,31,32,32,36,38,38,08/04/2020 20:25
Hof,9464,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,5,9,9,10,11,11,11,15,19,23,24,26,33,39,43,48,48,51,60,60,64,65,65,08/04/2020 8:00
Bamberg,9471,0,0,0,0,0,0,0,0,0,1,4,7,9,9,10,16,41,41,41,48,53,75,107,138,151,161,161,174,182,205,229,237,248,280,280,304,314,324,09/04/2020 10:00
Bayreuth,9472,2,2,2,2,2,2,2,4,4,4,5,6,6,6,6,9,13,21,23,26,38,56,60,85,101,101,112,129,136,142,167,190,190,190,212,232,253,253,08/04/2020 12:04
Coburg,9473,0,0,0,0,0,0,0,0,0,1,1,3,3,6,6,10,13,19,22,22,23,27,33,36,38,46,50,51,54,62,67,73,79,84,85,88,103,103,08/04/2020 0:00
Forchheim,9474,0,0,0,0,0,0,0,0,0,1,4,4,4,4,8,8,14,18,19,19,25,40,45,59,73,73,78,86,86,98,122,134,134,148,149,156,158,158,08/04/2020 15:00
Hof,9475,0,0,0,0,1,1,1,1,1,1,1,2,5,6,7,7,13,17,40,46,51,66,70,75,85,118,118,120,159,169,182,197,210,210,202,221,242,242,08/04/2020 10:00
Kronach,9476,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,12,13,16,26,27,34,46,46,52,52,54,54,62,65,70,73,73,73,81,81,08/04/2020 8:00
Kulmbach,9477,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,12,12,21,21,33,33,42,52,69,69,74,74,80,93,95,102,102,106,117,124,130,130,08/04/2020 8:00
Lichtenfels,9478,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,7,7,20,21,25,27,46,54,57,74,79,81,88,105,112,115,125,133,137,142,142,08/04/2020 13:13
Wunsiedel i. Fichtelgebirge,9479,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,16,16,16,41,53,62,73,88,115,115,159,188,197,221,265,292,319,351,416,422,444,475,475,08/04/2020 0:00
Ansbach,9561,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,7,7,7,10,20,21,23,48,29,33,37,42,47,47,56,61,67,70,80,09/04/2020 12:00
Erlangen,9562,0,0,4,4,4,4,4,11,11,11,11,11,12,12,13,13,16,20,20,20,30,38,42,52,66,77,78,79,84,92,103,121,133,138,146,154,162,162,08/04/2020 16:00
Fürth,9563,0,0,0,0,0,0,0,5,5,6,6,7,8,9,9,10,12,16,17,22,24,25,29,37,44,52,72,76,76,91,96,102,143,143,169,180,203,223,09/04/2020 10:00
Nürnberg,9564,3,3,4,8,9,9,12,13,14,15,19,27,27,28,30,53,61,74,74,93,116,134,180,202,213,230,237,250,268,326,361,412,451,483,503,511,687,733,09/04/2020 0:00
Schwabach,9565,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,6,8,8,8,8,9,12,16,17,18,24,25,26,35,37,37,40,47,48,54,59,59,08/04/2020 10:00
Ansbach,9571,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,13,21,34,40,47,47,49,100,100,120,120,149,161,194,217,241,250,266,272,276,298,321,09/04/2020 12:00
Erlangen-Höchstadt,9572,1,1,1,2,2,2,2,2,2,2,4,4,5,7,7,9,14,21,21,25,30,39,42,48,48,56,56,59,68,76,91,102,118,118,122,133,146,146,08/04/2020 10:00
Fürth,9573,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,4,7,14,18,19,22,28,47,65,73,78,88,128,152,168,179,236,236,268,291,314,314,08/04/2020 10:00
Nürnberger Land,9574,0,0,0,0,1,1,1,1,1,1,1,3,3,6,7,23,36,40,40,71,79,93,124,138,154,154,201,215,234,282,320,357,357,375,383,409,427,427,08/04/2020 15:00
Neustadt a.d. Aisch-Bad Windsheim,9575,0,0,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,7,10,10,20,22,25,40,42,43,50,62,62,69,84,84,84,94,118,123,132,132,08/04/2020 0:00
Roth,9576,1,1,2,2,2,2,2,2,2,3,3,3,4,5,5,7,8,12,12,14,21,25,27,47,60,69,82,82,90,110,149,166,166,183,187,210,219,219,08/04/2020 10:00
Weißenburg-Gunzenhausen,9577,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,7,8,12,20,24,33,44,51,74,82,91,96,101,110,133,141,146,155,163,171,186,192,09/04/2020 7:30
Aschaffenburg,9661,0,0,0,0,0,0,1,1,1,1,1,6,6,6,20,20,20,20,22,26,28,30,31,32,36,42,46,46,48,50,60,63,66,68,90,98,100,100,08/04/2020 0:00
Schweinfurt,9662,0,0,0,0,0,0,0,0,0,0,1,1,3,4,8,9,9,12,13,13,13,13,13,13,19,19,27,40,50,55,65,69,78,84,90,90,94,94,08/04/2020 0:00
Würzburg,9663,2,2,2,2,4,4,6,6,7,12,16,27,30,35,40,41,42,66,85,87,88,104,117,128,204,217,243,250,276,294,310,318,356,361,363,372,379,383,09/04/2020 10:00
Aschaffenburg,9671,0,0,0,0,0,0,0,1,1,1,2,3,3,3,23,23,26,31,40,49,50,65,65,77,90,103,111,123,129,134,167,187,210,233,277,285,304,304,08/04/2020 0:00
Bad Kissingen,9672,0,0,1,1,1,1,1,1,3,3,3,3,3,7,7,9,10,14,17,27,27,32,35,37,54,63,70,73,82,102,118,125,127,132,133,140,155,155,08/04/2020 10:00
Rhön-Grabfeld,9673,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,11,11,11,13,18,21,23,29,37,38,38,41,41,46,52,65,76,76,77,93,100,100,08/04/2020 13:18
Haßberge,9674,0,0,0,0,0,0,0,0,0,0,4,6,6,8,8,9,9,14,15,17,20,24,30,34,36,42,47,50,62,70,78,80,80,87,90,92,98,98,08/04/2020 8:00
Kitzingen,9675,0,0,0,0,0,0,0,0,1,1,1,4,5,5,5,9,10,11,11,13,13,14,18,18,23,29,29,29,29,34,40,46,56,60,61,68,72,72,08/04/2020 10:00
Miltenberg,9676,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,15,25,25,41,47,47,50,60,72,79,92,92,103,107,124,150,157,174,178,182,194,211,211,08/04/2020 18:35
Main-Spessart,9677,0,0,0,0,0,0,1,1,1,1,1,5,5,5,8,8,9,11,12,14,15,21,32,38,41,51,56,67,67,75,76,82,91,104,107,110,117,117,08/04/2020 10:00
Schweinfurt,9678,0,0,0,0,0,0,0,0,0,0,4,4,6,10,16,18,18,27,35,37,45,50,60,79,79,92,137,147,137,144,165,189,215,230,257,268,274,274,08/04/2020 0:00
Würzburg,9679,0,0,0,3,3,3,9,9,10,16,19,32,36,41,47,60,70,100,100,130,149,167,180,215,172,211,201,215,230,244,260,268,278,290,293,298,305,305,08/04/2020 14:30
Augsburg,9761,2,2,2,3,4,4,4,4,4,5,5,11,11,11,22,30,34,43,46,52,59,75,90,108,130,136,157,172,183,190,201,225,236,247,256,273,281,294,09/04/2020 12:00
Kaufbeuren,9762,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,5,7,7,7,7,8,11,15,16,18,30,31,32,32,41,45,52,56,61,60,66,66,08/04/2020 10:00
Kempten (Allgäu),9763,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,24,28,30,34,38,39,40,42,43,44,49,53,53,58,60,65,65,08/04/2020 0:00
Memmingen,9764,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,8,9,14,15,15,17,21,23,26,26,26,27,29,29,31,36,36,40,40,40,40,40,08/04/2020 0:00
Aichach-Friedberg,9771,1,1,1,1,1,1,1,1,2,2,2,9,9,10,12,16,24,31,31,39,39,47,55,79,90,106,106,120,128,146,158,158,165,171,176,182,199,199,08/04/2020 10:00
Augsburg,9772,0,0,0,0,0,1,5,17,27,27,27,31,35,35,35,41,53,54,68,78,88,100,122,143,152,164,171,181,201,208,224,242,250,261,262,279,292,300,09/04/2020 12:00
Dillingen a.d. Donau,9773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,8,8,17,17,17,26,29,33,38,48,52,52,62,78,80,90,90,90,96,96,08/04/2020 10:00
Günzburg,9774,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,11,11,14,25,26,30,37,54,77,77,90,101,104,117,125,130,138,140,149,149,161,161,08/04/2020 10:00
Neu-Ulm,9775,2,2,2,2,2,2,2,2,2,3,8,8,9,10,10,17,19,34,47,58,58,72,80,94,100,121,126,132,145,170,191,207,219,235,241,250,283,283,08/04/2020 10:00
Lindau (Bodensee),9776,2,2,2,2,4,4,5,5,6,6,8,12,12,19,19,21,23,35,51,51,51,53,67,80,93,100,102,120,128,131,142,167,176,188,190,194,201,201,08/04/2020 10:00
Ostallgäu,9777,3,3,3,4,4,4,4,5,5,6,8,10,10,11,14,16,16,24,26,38,40,69,78,94,100,116,133,149,156,171,203,258,280,296,312,355,355,355,08/04/2020 10:00
Unterallgäu,9778,0,0,0,0,0,0,0,0,0,5,5,10,15,18,18,19,19,31,42,48,56,59,60,87,99,113,123,131,137,139,154,174,180,184,193,210,220,220,08/04/2020 13:45
Donau-Ries,9779,0,0,0,0,2,2,3,3,3,6,6,6,6,10,10,10,16,20,20,20,33,33,47,58,67,67,76,90,93,95,118,173,173,191,216,235,252,252,08/04/2020 10:00
Oberallgäu,9780,0,0,1,1,1,4,7,8,9,14,14,14,24,28,34,36,45,45,50,50,51,51,63,70,77,87,91,96,99,105,108,117,127,130,137,144,146,146,08/04/2020 0:00
Regionalverband Saarbrücken,10041,1,1,1,1,1,1,1,1,5,8,10,10,20,27,27,63,86,102,114,121,147,163,169,190,211,250,268,268,359,421,511,534,582,648,665,698,770,770,08/04/2020 0:00
Merzig-Wadern,10042,0,0,0,0,0,0,1,1,3,4,4,4,6,8,10,11,14,15,19,20,24,25,30,37,37,45,52,55,64,66,74,84,84,121,127,137,150,150,08/04/2020 0:00
Neunkirchen,10043,0,0,0,0,0,0,1,1,2,3,4,4,9,13,13,22,26,34,34,34,47,47,49,64,78,81,98,106,114,126,135,144,151,154,159,165,169,169,08/04/2020 0:00
Saarlouis,10044,0,0,0,0,0,0,0,1,1,2,5,5,10,17,24,26,37,39,46,46,57,58,62,78,96,97,124,132,159,172,215,230,252,278,296,318,353,353,08/04/2020 0:00
Saarpfalz-Kreis,10045,0,0,0,1,3,3,3,3,3,3,4,4,14,17,17,28,35,40,43,56,76,87,94,102,115,115,115,156,169,189,213,222,222,222,242,255,262,262,08/04/2020 0:00
St. Wendel,10046,0,0,0,0,0,0,0,0,0,8,8,12,15,17,17,22,32,38,45,50,51,57,62,69,73,81,81,86,96,99,104,104,119,121,122,127,138,138,08/04/2020 0:00
Berlin,11000,9,9,15,19,28,40,48,58,90,137,174,263,283,332,383,519,688,868,1025,1071,1219,1425,1645,1937,2152,2337,2462,2581,2777,2993,3223,3486,3626,3687,3862,4038,4212,4357,08/04/2020 0:00
Brandenburg an der Havel,12051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,8,8,10,12,12,13,14,15,16,17,21,24,27,29,31,33,33,37,39,41,09/04/2020 0:00
Cottbus,12052,0,0,0,0,0,0,0,3,3,3,8,13,15,16,17,20,20,20,22,24,27,28,28,29,29,30,31,31,31,32,34,34,34,34,34,34,34,34,08/04/2020 8:00
Frankfurt (Oder),12053,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,6,6,6,6,6,6,6,7,10,12,13,14,14,22,22,22,09/04/2020 0:00
Potsdam,12054,0,0,0,0,0,0,0,0,0,0,0,1,1,7,13,17,30,37,48,49,52,56,63,79,87,108,109,139,146,160,203,229,245,264,273,306,362,400,09/04/2020 16:00
Barnim,12060,0,0,0,0,0,0,0,0,2,2,4,8,10,11,11,20,21,29,37,38,40,46,50,56,61,65,68,73,74,81,87,94,102,109,120,123,126,179,09/04/2020 0:00
Dahme-Spreewald,12061,0,0,0,0,0,0,0,0,0,1,1,1,3,6,6,16,18,21,25,25,27,31,34,41,59,60,70,70,81,99,102,113,115,117,122,124,128,128,08/04/2020 0:00
Elbe-Elster,12062,0,0,0,0,0,0,0,3,3,3,5,5,6,6,6,6,7,8,8,8,8,16,16,17,27,27,27,33,38,39,44,53,53,53,61,65,66,66,08/04/2020 8:00
Havelland,12063,0,0,0,1,1,1,2,2,2,3,3,3,3,4,6,8,8,10,10,18,21,21,26,29,38,42,46,48,51,64,72,79,81,92,103,104,112,112,08/04/2020 8:16
Märkisch-Oderland,12064,0,0,0,0,0,0,0,2,2,3,5,5,13,13,13,26,29,40,41,41,47,47,62,69,70,71,76,80,86,94,94,102,108,112,114,117,120,120,08/04/2020 16:00
Oberhavel,12065,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,13,23,29,37,37,37,50,54,65,76,85,95,101,106,115,119,126,133,137,141,144,149,149,08/04/2020 12:00
Oberspreewald-Lausitz,12066,0,0,0,0,0,0,1,1,2,2,2,2,2,5,5,5,5,6,6,11,11,11,13,13,14,16,18,18,19,22,25,28,28,28,31,31,33,33,08/04/2020 16:00
Oder-Spree,12067,0,0,0,0,0,0,0,0,1,2,4,7,7,11,14,23,32,37,42,46,46,49,51,60,69,73,75,75,79,80,80,81,83,83,85,90,91,91,08/04/2020 12:06
Ostprignitz-Ruppin,12068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,7,7,7,9,9,11,12,12,13,15,18,19,21,26,31,26,31,33,33,08/04/2020 8:00
Potsdam-Mittelmark,12069,0,0,0,0,0,0,0,0,2,3,4,4,7,7,8,14,20,28,32,35,38,40,54,65,88,93,98,98,120,137,145,175,188,199,204,213,226,245,09/04/2020 0:00
Prignitz,12070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,9,9,9,9,9,9,9,9,9,13,15,17,17,18,09/04/2020 12:00
Spree-Neiße,12071,0,0,0,0,0,0,1,2,4,4,5,10,10,10,13,20,23,23,23,23,29,29,31,35,40,40,40,43,44,46,46,49,51,51,51,51,51,51,09/04/2020 0:00
Teltow-Fläming,12072,0,0,0,0,0,0,1,1,1,1,2,2,6,6,10,11,12,13,20,23,23,23,27,38,40,42,43,43,50,56,59,67,67,70,71,75,83,88,09/04/2020 0:00
Uckermark,12073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,5,5,5,8,9,13,10,18,18,21,22,22,22,22,23,24,24,09/04/2020 0:00
Rostock,13003,0,0,0,0,0,0,0,2,2,4,6,8,10,11,16,23,23,23,25,27,29,29,34,38,48,53,56,58,59,60,61,62,64,64,65,71,71,72,09/04/2020 0:00
Schwerin,13004,0,0,0,0,0,0,0,0,1,1,4,7,7,9,10,19,29,33,38,38,38,46,47,53,56,60,62,62,69,71,74,75,77,77,77,83,84,86,09/04/2020 0:00
Mecklenburgische Seenplatte,13071,1,1,1,1,2,4,4,5,6,6,7,7,7,9,13,19,20,23,26,28,30,36,40,41,46,56,58,60,71,79,83,90,93,94,94,97,99,100,09/04/2020 0:00
Rostock,13072,0,0,0,0,0,0,2,3,3,6,8,10,11,11,13,13,13,17,17,17,18,20,24,24,25,26,26,29,31,32,37,42,44,46,46,46,47,50,09/04/2020 0:00
Vorpommern-Rügen,13073,1,1,2,2,2,2,2,2,3,4,4,4,5,6,6,9,10,12,15,15,15,17,18,23,33,33,38,38,41,51,55,58,59,61,62,63,65,66,09/04/2020 0:00
Nordwestmecklenburg,13074,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,15,17,17,17,18,21,24,24,25,28,28,28,36,38,44,51,51,51,51,54,55,59,09/04/2020 0:00
Vorpommern-Greifswald,13075,2,2,2,2,2,2,2,2,2,2,4,4,5,5,9,13,20,24,26,26,30,31,32,37,46,55,56,56,66,69,69,76,81,81,82,83,95,95,09/04/2020 0:00
Ludwigslust-Parchim,13076,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,13,18,18,19,24,27,27,28,31,37,37,39,44,45,45,47,54,54,54,57,57,57,09/04/2020 0:00
Chemnitz,14511,0,0,0,0,0,0,0,3,3,3,3,10,12,12,16,18,27,35,42,51,55,59,61,71,74,87,96,104,114,117,133,134,143,147,148,151,156,166,09/04/2020 14:00
Erzgebirgskreis,14521,0,0,0,0,0,0,0,0,0,0,2,2,2,2,11,15,27,29,33,50,55,57,59,65,76,96,104,114,133,150,244,274,276,288,303,319,333,342,09/04/2020 18:00
Mittelsachsen,14522,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,13,17,24,24,24,35,44,51,61,68,83,85,96,102,109,127,141,159,161,164,171,182,202,09/04/2020 0:00
Vogtlandkreis,14523,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,7,10,16,16,30,36,47,62,80,93,93,106,111,117,125,131,134,151,161,171,187,195,09/04/2020 0:00
Zwickau,14524,0,0,0,0,0,0,0,0,0,0,1,4,4,14,23,37,50,110,172,172,175,184,221,244,267,286,286,341,355,379,408,434,491,500,510,514,539,575,09/04/2020 12:00
Dresden,14612,0,0,0,0,0,2,3,4,5,6,11,11,23,23,40,49,60,97,115,123,154,169,216,239,287,314,320,339,358,378,398,407,436,448,455,458,466,476,09/04/2020 12:00
Bautzen,14625,0,0,0,0,1,4,4,4,7,12,12,14,19,19,24,36,48,55,56,86,88,101,112,114,141,156,168,171,180,189,193,202,206,207,215,222,231,242,09/04/2020 0:00
Görlitz,14626,0,0,0,0,0,0,1,2,2,5,6,6,7,7,9,10,15,18,28,28,29,30,33,35,59,62,69,69,75,82,88,96,161,167,181,182,199,205,09/04/2020 15:48
Meißen,14627,0,0,0,0,0,0,0,0,3,3,5,9,9,9,11,12,17,18,21,25,26,34,38,42,52,60,68,69,77,87,96,106,115,121,122,130,138,145,09/04/2020 0:00
Sächsische Schweiz-Osterzgebirge,14628,1,1,1,1,1,1,1,2,2,6,8,11,11,11,14,20,27,35,41,64,73,82,83,105,112,142,151,175,179,199,213,222,226,255,258,269,279,285,09/04/2020 0:00
Leipzig,14713,0,0,0,1,1,2,2,4,4,6,16,19,31,41,71,72,94,119,129,144,161,181,204,218,242,270,316,319,323,332,361,378,403,421,420,435,446,451,09/04/2020 12:00
Leipzig,14729,0,0,0,0,1,1,4,4,4,8,11,11,17,17,17,25,28,33,39,39,45,50,59,68,72,77,91,94,99,110,117,123,130,134,137,140,144,148,09/04/2020 0:00
Nordsachsen,14730,0,0,0,0,0,0,0,0,0,0,2,2,3,3,6,6,10,15,15,17,17,20,21,26,29,31,37,37,41,55,61,73,74,79,78,83,92,95,09/04/2020 0:00
Dessau-Roßlau,15001,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,9,10,11,12,15,16,20,20,20,20,20,20,20,23,29,33,35,35,41,41,47,09/04/2020 0:00
Halle (Saale),15002,0,0,0,0,0,0,1,2,5,9,9,12,12,19,27,38,50,57,68,78,80,85,91,104,113,137,153,169,175,185,195,210,217,214,217,223,238,244,09/04/2020 13:05
Magdeburg,15003,0,0,0,0,0,0,0,1,3,6,7,11,11,16,20,27,29,39,39,39,50,56,57,65,71,71,71,79,84,87,87,88,89,88,89,90,91,91,09/04/2020 0:00
Altmarkkreis Salzwedel,15081,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,6,6,8,9,10,10,12,12,12,14,15,15,17,17,17,19,21,22,25,27,09/04/2020 0:00
Anhalt-Bitterfeld,15082,0,0,0,0,0,0,0,0,1,1,2,2,2,6,6,6,8,9,12,13,16,17,26,27,30,30,32,37,37,39,39,41,47,48,49,48,49,49,09/04/2020 0:00
Börde,15083,0,0,0,0,0,0,0,2,2,2,3,4,11,13,16,22,25,29,30,36,40,41,44,44,50,50,53,56,56,60,61,64,66,68,69,74,78,79,09/04/2020 0:00
Burgenlandkreis,15084,0,0,0,0,0,0,0,1,1,1,2,2,4,6,8,12,14,15,15,15,19,21,27,27,27,27,27,34,37,38,38,50,51,52,54,54,61,64,09/04/2020 0:00
Harz,15085,0,0,0,0,0,0,0,0,1,1,2,4,4,6,7,7,11,12,14,14,23,24,29,38,49,52,58,67,68,69,73,79,80,84,92,108,114,124,09/04/2020 0:00
Jerichower Land,15086,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,6,6,6,7,10,13,16,16,16,16,18,20,20,20,22,22,25,26,27,28,28,09/04/2020 0:00
Mansfeld-Südharz,15087,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,8,10,14,14,16,16,16,16,16,19,20,25,26,29,29,30,30,30,30,33,09/04/2020 0:00
Saalekreis,15088,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,6,12,15,19,22,23,32,41,46,50,56,56,58,63,71,77,80,82,83,84,86,91,95,09/04/2020 0:00
Salzlandkreis,15089,0,0,0,0,0,0,0,1,3,6,7,7,7,8,8,8,11,18,18,18,21,27,33,37,37,37,37,39,40,44,45,48,49,54,56,58,59,59,09/04/2020 0:00
Stendal,15090,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,7,10,10,10,17,17,21,24,33,39,51,52,55,59,62,63,63,64,66,66,66,69,09/04/2020 0:00
Wittenberg,15091,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,7,11,15,19,24,36,38,53,60,62,66,80,82,89,92,97,101,107,113,113,121,126,130,09/04/2020 0:00
Erfurt,16051,0,0,0,0,1,1,1,1,2,2,3,3,10,16,16,16,18,27,27,28,44,53,57,62,72,72,74,77,82,87,89,92,94,95,97,103,107,107,09/04/2020 13:30
Gera,16052,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,5,5,5,5,7,7,7,8,14,18,19,19,22,25,34,35,36,36,37,39,40,46,09/04/2020 0:00
Jena,16053,0,0,0,0,0,0,0,0,0,0,2,8,9,12,20,30,45,55,55,77,90,93,94,102,110,114,116,119,122,126,135,136,139,142,145,147,148,155,09/04/2020 16:10
Suhl,16054,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,4,4,5,5,5,5,6,6,7,7,7,7,9,10,10,11,11,11,09/04/2020 0:00
Weimar,16055,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,6,11,11,11,11,14,16,20,22,24,27,29,31,33,37,41,44,46,49,50,50,51,54,09/04/2020 17:00
Eisenach,16056,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,6,6,8,8,8,9,9,11,11,09/04/2020 14:00
Eichsfeld,16061,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,7,8,16,18,23,31,39,41,45,51,51,52,60,62,66,69,73,73,77,82,84,09/04/2020 8:00
Nordhausen,16062,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,4,6,6,7,9,10,10,11,15,17,17,17,21,21,21,22,26,26,31,09/04/2020 0:00
Wartburgkreis,16063,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,5,10,12,13,13,14,15,15,15,17,17,18,19,27,29,29,29,29,29,31,31,32,09/04/2020 14:00
Unstrut-Hainich-Kreis,16064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,5,6,7,8,10,10,10,11,15,18,21,25,31,35,35,35,40,43,45,09/04/2020 10:00
Kyffhäuserkreis,16065,0,0,0,0,0,0,2,2,2,5,6,6,6,8,8,8,8,10,12,12,12,12,15,17,19,19,19,19,19,23,23,25,27,27,27,28,28,36,09/04/2020 0:00
Schmalkalden-Meiningen,16066,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,5,5,9,13,15,15,15,19,21,25,27,28,30,30,33,33,36,36,38,39,42,49,55,09/04/2020 14:00
Gotha,16067,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,7,7,9,14,17,17,17,20,20,21,23,26,28,33,34,35,37,38,45,52,57,09/04/2020 0:00
Sömmerda,16068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,8,10,14,20,22,22,22,23,24,27,29,29,29,30,30,31,33,09/04/2020 0:00
Hildburghausen,16069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,6,6,7,7,9,10,10,10,11,11,11,11,11,11,13,09/04/2020 17:00
Ilm-Kreis,16070,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,7,11,13,20,24,30,43,51,55,58,61,65,72,79,80,93,95,97,98,101,09/04/2020 10:00
Weimarer Land,16071,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,9,9,12,12,15,15,17,18,21,22,24,26,29,30,36,41,54,54,54,57,09/04/2020 0:00
Sonneberg,16072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,9,11,13,16,20,21,23,30,32,34,35,36,36,36,38,41,47,09/04/2020 0:00
Saalfeld-Rudolstadt,16073,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,8,12,12,17,17,17,20,25,33,33,33,33,39,45,47,48,48,48,52,52,52,54,09/04/2020 10:00
Saale-Holzland-Kreis,16074,0,0,0,0,0,0,0,1,1,3,3,3,3,3,4,5,10,14,14,17,17,18,19,20,21,22,27,28,29,30,35,36,36,45,46,47,47,49,09/04/2020 14:00
Saale-Orla-Kreis,16075,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,5,6,7,7,9,9,9,10,27,27,27,32,34,37,47,60,61,65,70,70,80,83,09/04/2020 0:00
Greiz,16076,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,15,29,30,36,45,51,58,89,103,111,121,130,132,141,154,166,175,182,194,201,214,221,09/04/2020 0:00
Altenburger Land,16077,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,5,5,5,7,8,16,17,17,18,19,20,20,21,24,28,30,30,30,31,31,33,33,09/04/2020 0:00